date	time	filename	physio_files	edf_file	edf_filesize	acq_time
2022-11-07	15:56:08.322500	sub-001/ses-pilot001/dwi/sub-001_ses-pilot001_acq-pilotrel_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2022-11-07 15:56:08.322500
2022-11-07	16:17:01.140000	sub-001/ses-pilot001/dwi/sub-001_ses-pilot001_acq-lowres_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2022-11-07 16:17:01.140000
2022-12-21	18:37:56.320000	sub-001/ses-pilot002/dwi/sub-001_ses-pilot002_acq-pilotrel_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2022-12-21 18:37:56.320000
2022-12-21	18:58:27.115000	sub-001/ses-pilot002/dwi/sub-001_ses-pilot002_acq-lowres_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2022-12-21 18:58:27.115000
2022-12-21	19:19:48.335000	sub-001/ses-pilot002/func/sub-001_ses-pilot002_task-qct_echo-1_bold.nii.gz	n/a	n/a	n/a	2022-12-21 19:19:48.335000
2023-01-16	14:07:13.222500	sub-001/ses-pilot004/dwi/sub-001_ses-pilot004_acq-pilotrel_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2023-01-16 14:07:13.222500
2023-01-16	14:44:24.662500	sub-001/ses-pilot004/dwi/sub-001_ses-pilot004_acq-lowres_dir-AP_dwi.nii.gz	n/a	n/a	n/a	2023-01-16 14:44:24.662500
2023-01-16	15:14:21.812500	sub-001/ses-pilot004/func/sub-001_ses-pilot004_task-qct_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-01-16 15:14:21.812500
2023-01-16	15:20:06.142500	sub-001/ses-pilot004/func/sub-001_ses-pilot004_task-pilotrest_echo-1_bold.nii.gz	n/a	resting_state_2023-01-16_15h19.18.291.EDF	27680.9072265625	2023-01-16 15:20:06.142500
2023-01-18	16:50:04.287500	sub-001/ses-pilot005/func/sub-001_ses-pilot005_task-pilotrest_acq-fa80_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-01-18 16:50:04.287500
2023-01-18	17:11:20.987500	sub-001/ses-pilot005/dwi/sub-001_ses-pilot005_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	201983_test_task_2023-01-18_17h06.51.704.EDF	47.6494140625	2023-01-18 17:11:20.987500
2023-01-18	17:32:22.687500	sub-001/ses-pilot005/dwi/sub-001_ses-pilot005_acq-lowres_dir-PA_dwi.nii.gz	n/a	control_task_1_FINAL_2023-01-18_17h31.38.186.EDF	3221.7373046875	2023-01-18 17:32:22.687500
2023-01-24	17:45:42.565000	sub-001/ses-pilot006/dwi/sub-001_ses-pilot006_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-01-24 17:45:42.565000
2023-01-24	18:06:58.650000	sub-001/ses-pilot006/dwi/sub-001_ses-pilot006_acq-lowres_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-01-24 18:06:58.650000
2023-02-28	14:39:23.730000	sub-001/ses-pilot007/dwi/sub-001_ses-pilot007_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-02-28 14:39:23.730000
2023-03-15	16:54:45.362500	sub-001/ses-pilot008/dwi/sub-001_ses-pilot008_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-03-15 16:54:45.362500
2023-03-15	17:33:41.605000	sub-001/ses-pilot008/dwi/sub-001_ses-pilot008_acq-lowres_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-03-15 17:33:41.605000
2023-03-15	18:17:38.827500	sub-001/ses-pilot008/func/sub-001_ses-pilot008_task-bht_dir-AP_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-03-15 18:17:38.827500
2023-03-30	14:56:59.565000	sub-001/ses-pilot009/dwi/sub-001_ses-pilot009_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-03-30 14:56:59.565000
2023-03-30	15:37:17.842500	sub-001/ses-pilot009/func/sub-001_ses-pilot009_task-bht_dir-AP_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-03-30 15:37:17.842500
2023-05-04	16:31:50.357500	sub-001/ses-pilot010/dwi/sub-001_ses-pilot010_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-05-04 16:31:50.357500
2023-05-04	17:10:48.425000	sub-001/ses-pilot010/dwi/sub-001_ses-pilot010_acq-lowres_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-05-04 17:10:48.425000
2023-05-10	18:29:25.355000	sub-001/ses-pilot011/dwi/sub-001_ses-pilot011_acq-pilotrel_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-05-10 18:29:25.355000
2023-05-10	18:54:59.420000	sub-001/ses-pilot011/func/sub-001_ses-pilot011_task-bht_dir-AP_echo-1_bold.nii.gz	n/a	n/a	n/a	2023-05-10 18:54:59.420000
2023-05-10	19:05:16.712500	sub-001/ses-pilot011/func/sub-001_ses-pilot011_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	control_task_1_FINAL_2023-05-10_19h02.10.782.EDF	3644.17578125	2023-05-10 19:05:16.712500
2023-05-10	19:13:44.825000	sub-001/ses-pilot011/dwi/sub-001_ses-pilot011_acq-lowres_dir-PA_dwi.nii.gz	n/a	n/a	n/a	2023-05-10 19:13:44.825000
2023-05-17	16:59:55.372500	sub-001/ses-pilot012/dwi/sub-001_ses-pilot012_acq-pilotrel_dir-PA_dwi.nii.gz	session2023-05-17T16:47:56.acq	resting_state_2023-05-17_16h57.13.559.EDF	27575.1962890625	2023-05-17 16:59:55.372500
2023-05-17	17:26:27.355000	sub-001/ses-pilot012/func/sub-001_ses-pilot012_task-bht_dir-AP_echo-1_bold.nii.gz	n/a	220367_breath_holding_task_2023-05-17_17h26.17.053.EDF	7482.8779296875	2023-05-17 17:26:27.355000
2023-05-17	17:36:32.707500	sub-001/ses-pilot012/func/sub-001_ses-pilot012_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	control_task_1_FINAL_2023-05-17_17h33.24.006.EDF	3651.0888671875	2023-05-17 17:36:32.707500
2023-05-17	18:07:40.677500	sub-001/ses-pilot012/dwi/sub-001_ses-pilot012_acq-lowres_dir-PA_dwi.nii.gz	n/a	resting_state_2023-05-17_18h07.08.454.EDF	27580.5634765625	2023-05-17 18:07:40.677500
2023-05-25	19:45:00.355000	sub-001/ses-pilot013/dwi/sub-001_ses-pilot013_acq-pilotrel_dir-PA_dwi.nii.gz	session2023-05-25T19:18:02.acq	resting_state_2023-05-25_19h42.17.085.EDF	27491.5810546875	2023-05-25 19:45:00.355000
2023-05-25	20:08:12.622500	sub-001/ses-pilot013/dwi/sub-001_ses-pilot013_acq-lowres_dir-PA_dwi.nii.gz	n/a	resting_state_2023-05-25_20h06.10.962.EDF	27665.0087890625	2023-05-25 20:08:12.622500
2023-05-25	20:34:31.337500	sub-001/ses-pilot013/func/sub-001_ses-pilot013_task-qct_dir-AP_echo-1_bold.nii.gz	n/a	control_task_1_FINAL_2023-05-25_20h30.12.724.EDF	4808.94140625	2023-05-25 20:34:31.337500
